Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,hgnet_small.ssld_in1k,224,83.81,32,32,581.5297272,58711677.68,576115.1473,24.36,24360872,8508635624,24360872,8547944168,54429432,TRUE
TBD,TBD,hgnet_tiny.paddle_in1k,288,80.648,28,20,572.9165288,37043262,580555.3864,14.74,14735864,7485868872,14735864,7533177480,66619320,TRUE
TBD,TBD,hgnet_tiny.paddle_in1k,224,79.888,46,44,932.4396777,50434365.69,361645.4786,14.74,14735864,4530465608,14735864,4559080072,40308664,TRUE
TBD,TBD,hgnet_tiny.ssld_in1k,288,82.524,28,20,557.28573,38447549.86,606086.87,14.74,14735864,7485868872,14735864,7533177480,66619320,TRUE
TBD,TBD,hgnet_tiny.ssld_in1k,224,81.94,46,44,962.4699249,48427199.63,348414.9794,14.74,14735864,4530465608,14735864,4559080072,40308664,TRUE
TBD,TBD,hgnetv2_b0.ssld_stage1_in22k_in1k,288,78.034,70,68,2165.902092,33649744.13,160442.0906,6,5996550,528478583,5996550,542600840,22423608,TRUE
TBD,TBD,hgnetv2_b0.ssld_stage1_in22k_in1k,224,76.844,116,112,3670.892195,32514651.66,93043.42148,6,5996550,321339767,5996550,329881224,13572152,TRUE
TBD,TBD,hgnetv2_b0.ssld_stage2_ft_in1k,288,78.598,70,64,2163.003079,31751324.39,160335.1345,6,5996550,528478583,5996550,542600840,22423608,TRUE
TBD,TBD,hgnetv2_b0.ssld_stage2_ft_in1k,224,77.342,116,112,3654.902098,32681854.84,93110.30613,6,5996550,321339767,5996550,329881224,13572152,TRUE
TBD,TBD,hgnetv2_b1.ssld_stage1_in22k_in1k,288,79.048,52,64,1703.044646,40331868.83,204649.9426,6.34,6343158,806296143,6343158,824620248,27861624,TRUE
TBD,TBD,hgnetv2_b1.ssld_stage1_in22k_in1k,224,78.078,112,112,2896.443155,41299106.24,119561.6389,6.34,6343158,489402959,6343158,500486360,16861816,TRUE
