Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,gcresnet33ts,256,80.072,8,8,11.310697,88387564.54,199354.9611,19.841034,19841034,3624864342,19880698,3632343604,66174014,TRUE
TBD,TBD,gcresnet50t,256,80.944,8,8,12.454272,80270520.97,183903.9449,25.843848,25843848,4125519963,25897080,4145152646,86863019,TRUE
TBD,TBD,gcresnext26ts,256,77.81,8,8,11.9725507,83505390.95,248576.1942,10.44564,10445640,1843141314,10476600,1851503948,57449706,TRUE
TBD,TBD,gcresnext50ts,256,80.608,8,8,9.382545,106555182.2,339572.521,15.614088,15614088,2846634075,15667320,2858765446,90074283,TRUE
TBD,TBD,gcvit_base,224,84.456,8,8,2.37135952,421569042.9,1113086.487,90.320836,90320836,1936910952,90320836,13864107144,145517568,TRUE
TBD,TBD,gcvit_small,224,83.904,8,8,3.4879395,286639257.8,573446.9783,51.092173,51092173,1103656120,51092173,7815448672,109139176,TRUE
TBD,TBD,gcvit_tiny,224,83.84,8,8,6.0234572,165979201.1,383938.6638,28.221974,28221974,508361768,28221974,4287028728,79007696,TRUE
TBD,TBD,gcvit_xtiny,224,81.964,8,8,7.371213,135623419.6,331373.7299,19.981294,19981294,499590376,19981294,2692259832,55011024,TRUE
TBD,TBD,gcvit_xxtiny,224,79.756,8,8,10.431549,95840449.99,250001.4808,11.995428,11995428,488572648,11995428,1945802360,41759856,TRUE
TBD,TBD,gernet_l,256,81.354,8,8,9.64832864,103612903.6,221024.7928,30.975688,30975688,3489586024,31078280,3500662376,41438240,TRUE
TBD,TBD,gernet_m,224,80.702,8,8,13.1516389,76019468.13,173457.7767,21.076168,21076168,3004509544,21142920,3013829736,35668000,TRUE
TBD,TBD,gernet_s,224,76.874,8,8,23.029011,43412513.96,98979.10698,8.139207,8139207,744138504,8173761,749025960,18244032,TRUE
TBD,TBD,gmixer_24_224,224,78.048,8,8,8.52676046,117248011,271805.2876,24.721096,24721096,82303816,24721096,5269640776,41776592,TRUE
TBD,TBD,rexnet_130,224,79.492,8,8,19.70328312,50737216.84,112021.7352,7.505067,7505067,662243529,7557091,671262001,54345559,TRUE
TBD,TBD,rexnet_150,224,80.322,8,8,16.960098,58948386.22,143693.5605,9.668575,9668575,875844649,9728593,886250489,62712283,TRUE
TBD,TBD,vgg11,224,69.05,8,8,7.45829757,134036433.5,312406.6745,132.863336,132863336,7616525288,132863336,7643644904,16448416,TRUE
TBD,TBD,vgg13,224,69.95,8,8,5.9784548,167217921.7,394785.1303,133.047848,133047848,11320718312,133047848,11357471720,26082208,TRUE
TBD,TBD,vgg16,224,71.594,8,8,5.78586673,172782238.4,476956.8559,138.357544,138357544,15483821032,138357544,15523183592,28691360,TRUE
TBD,TBD,vgg19,224,72.4,8,8,5.2272421,191259244.6,482464.7038,143.66724,143667240,19646923752,143667240,19688895464,31300512,TRUE
TBD,TBD,mobilenetv2_140,224,76.528,8,8,26.0045799,38443248.36,103608.4363,6.06084,6060840,582196824,6108776,591127368,43245760,TRUE
TBD,TBD,mobilenetv2_110d,224,75.056,8,8,30.0080119,33316827.3,88859.3948,4.469032,4469032,430517080,4516520,438622856,39564128,TRUE
TBD,TBD,mobilenetv3_large_100_miil,224,76.4,8,8,49.5016634,20196216.65,63399.36032,5.458632,5458632,216597120,5483032,220040984,20493824,TRUE
TBD,TBD,mobilenetv3_small_050,224,57.918,8,8,197.3383568,5065838.89,20000,1.586728,1586728,24192280,1593224,23785744,4132128,TRUE
TBD,TBD,mvitv2_base,224,84.424,8,8,5.11518,195434225.8,417575.8713,51.299944,51299944,151663336,51472744,8879483944,76848312,TRUE
TBD,TBD,mvitv2_large,224,85.264,8,8,2.2989836,434838192.3,1014083.763,217.75996,217759960,439937560,217992952,40661686936,211514808,TRUE
TBD,TBD,mvitv2_small,224,83.772,8,8,6.8546351,145848944,318293.4591,34.757704,34757704,118884808,34870216,6081743752,51597240,TRUE
TBD,TBD,mvitv2_tiny,224,82.408,8,8,9.457997,105705349.3,218849.2047,24.091912,24091912,96041800,24173320,3985018504,37598136,TRUE
TBD,TBD,nf_regnet_b1,256,78.71,8,8,111.7303446,8947475.82,43415.80822,10.223984,10223984,612181824,10223984,12159344,15328144,TRUE
TBD,TBD,regnetv_040,224,82.44,8,8,7.4222933,134697671.9,280833.8058,20.584384,20584384,3973301344,20640640,3984978840,58974344,TRUE
TBD,TBD,regnetv_064,224,83.118,8,8,6.895381,144979139.1,308346.0857,30.50082,30500820,6355221876,30576052,6373271696,80832212,TRUE
TBD,TBD,regnetx_040,224,78.486,8,8,8.6949935,114981199.6,247616.7383,22.042184,22042184,3964499816,22118248,3987803432,76640160,TRUE
TBD,TBD,regnetx_064,224,79.062,8,8,6.74348,148257801.1,320138.2581,26.135048,26135048,6460292264,26209256,6491054072,101428288,TRUE
TBD,TBD,regnetx_080,224,81.552,8,8,5.78940054,172687637.3,343117.3892,39.482184,39482184,7995133416,39572648,8022090472,88664480,TRUE
TBD,TBD,regnetx_120,224,79.608,8,8,4.61863433,216460198.3,489879.5139,46.009672,46009672,12086679016,46106056,12126951528,132961440,TRUE
TBD,TBD,regnetx_160,224,82.574,8,8,3.7788495,264568486.3,586761.7016,54.167368,54167368,15940756456,54278536,15989025768,159670176,TRUE
TBD,TBD,regnetx_320,224,82.824,8,8,2.661302,375637396.2,793974.5109,107.649544,107649544,31735930792,107811560,31804845176,228357440,TRUE
TBD,TBD,regnety_040,224,82.308,8,8,7.1621694,139580737.3,284923.8155,20.584384,20584384,3973301344,20646656,3996549712,76542216,TRUE
TBD,TBD,regnety_064,224,83.006,8,8,6.39737,156266284.1,323245.7806,30.50082,30500820,6355221876,30583252,6386427788,103013924,TRUE
TBD,TBD,regnety_080,224,82.58,8,8,5.0463219,198110855.7,362263.6273,39.094324,39094324,7963074196,39180068,7996876428,111471380,TRUE
TBD,TBD,regnety_120,224,80.382,8,8,4.540653,220178749.6,516134.4557,51.72616,51726160,12092395504,51822544,12132674304,133000440,TRUE
TBD,TBD,regnety_160,224,82.646,8,8,3.6524028,273722187.2,603607.9267,83.467324,83467324,15911534044,83590140,15954986532,143369148,TRUE
TBD,TBD,regnety_320,224,83.17,8,8,2.557947,390846985.8,877572.348,144.888482,144888482,32279583362,145046770,32336963686,189612934,TRUE
TBD,TBD,regnetz_040,256,83.644,8,8,10.02271,99743105.36,213443.1028,26.986272,26986272,3075543744,27116800,3092516680,105110520,TRUE
TBD,TBD,regnetz_b16,224,79.864,8,8,14.8657942,67251983.95,167452.5265,9.665688,9665688,1430216760,9715480,1439071512,62597456,TRUE
TBD,TBD,regnetz_c16,256,82.162,8,8,12.3156065,81173428.56,179719.9275,13.396904,13396904,1896774728,13459880,1908371976,78553056,TRUE
TBD,TBD,repvgg_b2,224,78.788,8,8,3.22428106,310056027.5,796983.2002,88.93732,88937320,20418171880,89022376,20431317992,103650208,TRUE
TBD,TBD,repvgg_b2g4,224,79.396,8,8,4.32005559,231421022,550872.1196,61.67332,61673320,12590715880,61758376,12603861992,103650208,TRUE
TBD,TBD,repvgg_b3,224,80.528,8,8,2.839997,352035070.1,914565.6854,122.98532,122985320,29120697320,123085288,29136051176,121889184,TRUE
TBD,TBD,repvgg_b3g4,224,80.224,8,8,3.776259,264743964.1,692422.8574,83.72516,83725160,17849160680,83825128,17864514536,121889184,TRUE
